STATION,DATE,REPORT_TYPE,SOURCE,HourlyDryBulbTemperature
72520094823,2020-02-01T00:51:00,FM-15,7,32
72520094823,2020-02-01T01:51:00,FM-15,7,32
72520094823,2020-02-01T02:51:00,FM-15,7,32
72520094823,2020-02-01T03:51:00,FM-15,7,32
72520094823,2020-02-01T04:51:00,FM-15,7,31
72520094823,2020-02-01T05:51:00,FM-15,7,31
72520094823,2020-02-01T06:51:00,FM-15,7,31
72520094823,2020-02-01T07:51:00,FM-15,7,30
72520094823,2020-02-01T08:51:00,FM-15,7,31
72520094823,2020-02-01T09:51:00,FM-15,7,31
72520094823,2020-02-01T10:51:00,FM-15,7,32
72520094823,2020-02-01T11:51:00,FM-15,7,33
72520094823,2020-02-01T12:51:00,FM-15,7,33
72520094823,2020-02-01T13:51:00,FM-15,7,33
72520094823,2020-02-01T14:51:00,FM-15,7,33
72520094823,2020-02-01T15:51:00,FM-15,7,33
72520094823,2020-02-01T16:51:00,FM-15,7,33
72520094823,2020-02-01T17:51:00,FM-15,7,33
72520094823,2020-02-01T18:51:00,FM-15,7,33
72520094823,2020-02-01T19:51:00,FM-15,7,33
72520094823,2020-02-01T20:51:00,FM-15,6,32
72520094823,2020-02-01T21:51:00,FM-15,7,33
72520094823,2020-02-01T22:51:00,FM-15,7,33
72520094823,2020-02-01T23:51:00,FM-15,7,33
72520094823,2020-02-02T00:51:00,FM-15,7,34
72520094823,2020-02-02T01:51:00,FM-15,7,33
72520094823,2020-02-02T02:51:00,FM-15,7,33
72520094823,2020-02-02T03:51:00,FM-15,7,33
72520094823,2020-02-02T04:51:00,FM-15,7,33
72520094823,2020-02-02T05:51:00,FM-15,7,33
72520094823,2020-02-02T06:51:00,FM-15,7,33
72520094823,2020-02-02T07:51:00,FM-15,7,31
72520094823,2020-02-02T08:51:00,FM-15,7,32
72520094823,2020-02-02T09:51:00,FM-15,7,33
72520094823,2020-02-02T10:51:00,FM-15,7,36
72520094823,2020-02-02T11:51:00,FM-15,7,42
72520094823,2020-02-02T12:51:00,FM-15,7,46
72520094823,2020-02-02T13:51:00,FM-15,7,50
72520094823,2020-02-02T14:51:00,FM-15,7,53
72520094823,2020-02-02T15:51:00,FM-15,7,54
72520094823,2020-02-02T16:51:00,FM-15,7,53
72520094823,2020-02-02T17:51:00,FM-15,7,52
72520094823,2020-02-02T18:51:00,FM-15,7,52
72520094823,2020-02-02T19:51:00,FM-15,7,50
72520094823,2020-02-02T20:51:00,FM-15,7,50
72520094823,2020-02-02T21:51:00,FM-15,7,48
72520094823,2020-02-02T22:51:00,FM-15,7,48
72520094823,2020-02-02T23:51:00,FM-15,7,46
72520094823,2020-02-03T00:51:00,FM-15,7,44
72520094823,2020-02-03T01:51:00,FM-15,7,44
72520094823,2020-02-03T02:51:00,FM-15,7,40
72520094823,2020-02-03T03:51:00,FM-15,7,38
72520094823,2020-02-03T04:51:00,FM-15,7,38
72520094823,2020-02-03T05:51:00,FM-15,7,35
72520094823,2020-02-03T06:51:00,FM-15,7,37
72520094823,2020-02-03T07:51:00,FM-15,7,35
72520094823,2020-02-03T08:51:00,FM-15,7,39
72520094823,2020-02-03T09:51:00,FM-15,7,46
72520094823,2020-02-03T10:51:00,FM-15,7,51
72520094823,2020-02-03T11:51:00,FM-15,7,54
72520094823,2020-02-03T12:51:00,FM-15,7,57
72520094823,2020-02-03T13:51:00,FM-15,7,59
72520094823,2020-02-03T14:51:00,FM-15,7,61
72520094823,2020-02-03T15:51:00,FM-15,7,62
72520094823,2020-02-03T16:51:00,FM-15,7,62
72520094823,2020-02-03T17:51:00,FM-15,7,60
72520094823,2020-02-03T18:51:00,FM-15,7,60
72520094823,2020-02-03T19:51:00,FM-15,7,57
72520094823,2020-02-03T20:51:00,FM-15,7,57
72520094823,2020-02-03T21:51:00,FM-15,7,58
72520094823,2020-02-03T22:51:00,FM-15,7,57
72520094823,2020-02-03T23:51:00,FM-15,7,57
72520094823,2020-02-04T00:51:00,FM-15,7,59
72520094823,2020-02-04T01:51:00,FM-15,7,60
72520094823,2020-02-04T02:51:00,FM-15,7,56
72520094823,2020-02-04T03:51:00,FM-15,7,53
72520094823,2020-02-04T04:51:00,FM-15,7,52
72520094823,2020-02-04T05:51:00,FM-15,7,52
72520094823,2020-02-04T06:51:00,FM-15,7,52
72520094823,2020-02-04T07:51:00,FM-15,7,52
72520094823,2020-02-04T08:51:00,FM-15,7,53
72520094823,2020-02-04T09:51:00,FM-15,7,53
72520094823,2020-02-04T10:51:00,FM-15,7,54
72520094823,2020-02-04T11:51:00,FM-15,7,55
72520094823,2020-02-04T12:51:00,FM-15,7,55
72520094823,2020-02-04T13:51:00,FM-15,7,55
72520094823,2020-02-04T14:51:00,FM-15,7,52
72520094823,2020-02-04T15:51:00,FM-15,6,52
72520094823,2020-02-04T16:51:00,FM-15,7,44
72520094823,2020-02-04T17:51:00,FM-15,7,40
72520094823,2020-02-04T18:51:00,FM-15,7,38
72520094823,2020-02-04T19:51:00,FM-15,7,36
72520094823,2020-02-04T20:51:00,FM-15,7,34
72520094823,2020-02-04T21:51:00,FM-15,7,33
72520094823,2020-02-04T22:51:00,FM-15,7,32
72520094823,2020-02-04T23:51:00,FM-15,7,33
72520094823,2020-02-05T00:51:00,FM-15,7,33
72520094823,2020-02-05T01:51:00,FM-15,7,32
72520094823,2020-02-05T02:51:00,FM-15,7,32
72520094823,2020-02-05T03:51:00,FM-15,7,32
72520094823,2020-02-05T04:51:00,FM-15,7,31
72520094823,2020-02-05T05:51:00,FM-15,7,30
72520094823,2020-02-05T06:51:00,FM-15,7,30
72520094823,2020-02-05T07:51:00,FM-15,7,30
72520094823,2020-02-05T08:51:00,FM-15,7,30
72520094823,2020-02-05T09:51:00,FM-15,7,31
72520094823,2020-02-05T10:51:00,FM-15,7,32
72520094823,2020-02-05T11:51:00,FM-15,7,33
72520094823,2020-02-05T12:51:00,FM-15,7,34
72520094823,2020-02-05T13:51:00,FM-15,7,35
72520094823,2020-02-05T14:51:00,FM-15,7,35
72520094823,2020-02-05T15:51:00,FM-15,7,36
72520094823,2020-02-05T16:51:00,FM-15,7,36
72520094823,2020-02-05T17:51:00,FM-15,7,35
72520094823,2020-02-05T18:51:00,FM-15,7,35
72520094823,2020-02-05T19:51:00,FM-15,7,35
72520094823,2020-02-05T20:51:00,FM-15,7,33
72520094823,2020-02-05T21:51:00,FM-15,7,34
72520094823,2020-02-05T22:51:00,FM-15,7,34
72520094823,2020-02-05T23:51:00,FM-15,7,34
72520094823,2020-02-06T00:51:00,FM-15,7,35
72520094823,2020-02-06T01:51:00,FM-15,7,35
72520094823,2020-02-06T02:51:00,FM-15,7,35
72520094823,2020-02-06T03:51:00,FM-15,7,35
72520094823,2020-02-06T04:51:00,FM-15,7,35
72520094823,2020-02-06T05:51:00,FM-15,7,36
72520094823,2020-02-06T06:51:00,FM-15,7,36
72520094823,2020-02-06T07:51:00,FM-15,7,36
72520094823,2020-02-06T08:51:00,FM-15,7,37
72520094823,2020-02-06T09:51:00,FM-15,7,38
72520094823,2020-02-06T10:51:00,FM-15,7,39
72520094823,2020-02-06T11:51:00,FM-15,7,39
72520094823,2020-02-06T12:51:00,FM-15,7,38
72520094823,2020-02-06T13:51:00,FM-15,7,37
72520094823,2020-02-06T14:51:00,FM-15,7,36
72520094823,2020-02-06T15:51:00,FM-15,7,38
72520094823,2020-02-06T16:51:00,FM-15,7,39
72520094823,2020-02-06T17:51:00,FM-15,7,37
72520094823,2020-02-06T18:51:00,FM-15,7,36
72520094823,2020-02-06T19:51:00,FM-15,7,34
