datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
2/1/2017 5:00,2/1/2017 0:00,RFC,WEST,DUQ,DUQ,1419.881,TRUE
2/1/2017 6:00,2/1/2017 1:00,RFC,WEST,DUQ,DUQ,1379.505,TRUE
2/1/2017 7:00,2/1/2017 2:00,RFC,WEST,DUQ,DUQ,1366.106,TRUE
2/1/2017 8:00,2/1/2017 3:00,RFC,WEST,DUQ,DUQ,1364.453,TRUE
2/1/2017 9:00,2/1/2017 4:00,RFC,WEST,DUQ,DUQ,1391.265,TRUE
2/1/2017 10:00,2/1/2017 5:00,RFC,WEST,DUQ,DUQ,1477.343,TRUE
2/1/2017 11:00,2/1/2017 6:00,RFC,WEST,DUQ,DUQ,1585.252,TRUE
2/1/2017 12:00,2/1/2017 7:00,RFC,WEST,DUQ,DUQ,1671.412,TRUE
2/1/2017 13:00,2/1/2017 8:00,RFC,WEST,DUQ,DUQ,1708.597,TRUE
2/1/2017 14:00,2/1/2017 9:00,RFC,WEST,DUQ,DUQ,1713.813,TRUE
2/1/2017 15:00,2/1/2017 10:00,RFC,WEST,DUQ,DUQ,1741.466,TRUE
2/1/2017 16:00,2/1/2017 11:00,RFC,WEST,DUQ,DUQ,1724.95,TRUE
2/1/2017 17:00,2/1/2017 12:00,RFC,WEST,DUQ,DUQ,1718.228,TRUE
2/1/2017 18:00,2/1/2017 13:00,RFC,WEST,DUQ,DUQ,1718.995,TRUE
2/1/2017 19:00,2/1/2017 14:00,RFC,WEST,DUQ,DUQ,1705.024,TRUE
2/1/2017 20:00,2/1/2017 15:00,RFC,WEST,DUQ,DUQ,1675.82,TRUE
2/1/2017 21:00,2/1/2017 16:00,RFC,WEST,DUQ,DUQ,1691.804,TRUE
2/1/2017 22:00,2/1/2017 17:00,RFC,WEST,DUQ,DUQ,1750.203,TRUE
2/1/2017 23:00,2/1/2017 18:00,RFC,WEST,DUQ,DUQ,1773.542,TRUE
2/2/2017 0:00,2/1/2017 19:00,RFC,WEST,DUQ,DUQ,1729.201,TRUE
2/2/2017 1:00,2/1/2017 20:00,RFC,WEST,DUQ,DUQ,1710.319,TRUE
2/2/2017 2:00,2/1/2017 21:00,RFC,WEST,DUQ,DUQ,1644.154,TRUE
2/2/2017 3:00,2/1/2017 22:00,RFC,WEST,DUQ,DUQ,1550.903,TRUE
2/2/2017 4:00,2/1/2017 23:00,RFC,WEST,DUQ,DUQ,1474.326,TRUE
2/2/2017 5:00,2/2/2017 0:00,RFC,WEST,DUQ,DUQ,1422.477,TRUE
2/2/2017 6:00,2/2/2017 1:00,RFC,WEST,DUQ,DUQ,1385.905,TRUE
2/2/2017 7:00,2/2/2017 2:00,RFC,WEST,DUQ,DUQ,1370.147,TRUE
2/2/2017 8:00,2/2/2017 3:00,RFC,WEST,DUQ,DUQ,1365.974,TRUE
2/2/2017 9:00,2/2/2017 4:00,RFC,WEST,DUQ,DUQ,1400.753,TRUE
